study,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,Overall,Weight
Study 1,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,0
Study 3,Unclear,Low,Unclear,Low,Low,Unclear,Low,Unclear,Low,Low,Medium,0
Study 4,Low,Low,High,Low,Low,Low,Low,High,Low,Low,High,0
Study 5,High,High,Unclear,Low,Low,High,High,Unclear,Low,Low,Low,0
Study 6,High,High,Low,Medium,Unclear,High,High,Low,Medium,Unclear,Medium,0
Study 7,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,0
Study 8,Medium,Low,Unclear,Low,Low,Medium,Low,Unclear,Low,Low,Medium,0
Study 9,Low,Low,High,Low,Unclear,Low,Low,High,Low,Unclear,High,0
Study 10,High,High,Low,Low,Unclear,High,High,Low,Low,Unclear,Low,0
Study 11,High,Medium,Low,Low,Unclear,High,Medium,Low,Low,Unclear,Medium,0
Study 12,Low,Unclear,Low,Medium,Low,Low,Unclear,Low,Medium,Low,Low,0
Study 13,Unclear,Low,Medium,Low,Low,Unclear,Low,Medium,Low,Low,Medium,0
Study 14,Unclear,Low,High,High,Unclear,Unclear,Low,High,High,Unclear,High,0
Study 15,Medium,High,Low,Low,High,Medium,High,Low,Low,High,Low,0
Study 16,High,High,Low,Low,Unclear,High,High,Low,Low,Unclear,Medium,0
